id,Address,Response_Address,Response_X,Response_Y
雲診字第93號,雲林縣虎尾鎮光復路454號,,,
府農漁開字第38號,花蓮市中正路136號,,,
北市獸業字第492號,台北市汀州路二段125號1樓,,,
高市獸師開字第306號,高雄市苓雅區武廟路160之2號,,,
(104)疫政字第2號,金門縣金城鎮歐厝村63號,,,
中市獸醫開字第293號,臺中市北屯區文心路四段806號,,,
桃獸師開執字第254號,桃園市桃園區龍安街109號,,,
嘉市獸開字第91號,嘉義市東區吳鳳南路311號,,,
桃獸師開執字第253號,桃園市中壢區中豐路359號,,,
中市獸醫開字第292號,臺中市西屯區何安里文心路三段46號,,,
桃獸師開執字第252號,桃園市桃園區莊敬路一段156號,,,
新北獸醫業字第348號,新北市中和區捷運路20號1樓,,,
投府農畜師開字第32號,南投縣草屯鎮中興路271號,,,
北市獸業字第490號,臺北市士林區天母西路48號1樓,,,
北市獸業字第491號,臺北市南京東路5段286號,,,
北市獸業字第489號,臺北市大安區和平東路2段68號1樓,,,
北市獸業字第488號,台北市內湖區成功路4段368號1樓2樓,,,
高市獸師開字第305號,高雄市苓雅區興中一路383號,,,
投府農畜師開字第31號,南投縣埔里鎮東華路91-1號,,,
中市獸醫開字第291號,臺中市大里區國光路二段441號,,,
高市獸師開字第304號,高雄市三民區大昌一路289號,,,
南市獸開字第152號,臺南市北區和緯路二段516號,,,
北市獸業字第487號,臺北市北投區石牌路2段332-1號1樓,,,
中市獸醫開字第290號,臺中市西區中華路一段3-5號1-3樓,,,
新北獸醫業字第347號,新北市永和區永和路2段285號,,,
北市獸業字第486號,臺北市大安區文昌街89號1樓,,,
屏獸開字第113號,屏東縣潮州鎮永昌路47巷3號,,,
東府獸師開字第19號,臺東縣臺東市正氣北路141巷11號,,,
高市獸師開字第302號,高雄市三民區大昌二路448號,,,
高市獸師開字第301號,高雄市鳳山區建國路3段16號,,,
中市獸醫開字第289號,臺中市北區中清路一段581號,,,
中市獸醫開字第288號,臺中市大甲區育英路174-1號,,,
新北獸醫業字第346號,新北市蘆洲區中山一路160號,,,
中市獸醫開字第287號,臺中市清水區五權東路11號,,,
新北獸醫業字第345號,新北市蘆洲區中正路209號,,,
中市獸醫開字第286號,臺中市大雅區中清路四段303號,,,
屏獸開字第112號,屏東縣內埔鄉老埤村學府路1號,,,
高市獸師開字第300號,高雄市林園區和平路66巷6號,,,
中市獸醫開字第285號,臺中市南屯區大進街526號(含1-2樓),,,
屏獸開字第111號,屏東縣萬丹鄉萬新路1426號,,,
嘉市獸開字第90號,嘉義市垂楊路619號,,,
雲診字第91號,雲林縣虎尾鎮興南里113號,,,
雲診字第92號,雲林縣二崙鄉大同路21之2號,,,
屏獸開字第110號,屏東縣長治鄉瑞光路一段745號,,,
苗縣獸師開字第103040號,竹南鎮博愛街120號,,,
北市獸業字第485號,臺北市文山區景福街244號1樓及地下1樓,,,
屏獸開字第109號,屏東市自由路629號,,,
中市獸醫開字第284號,臺中市南區復興路二段133號及地下室一樓,,,
高市獸師開字第299號,高雄市楠梓區楠梓東街38號1樓,,,
北市獸業字第484號,臺北市內湖區金湖路22號1樓,,,
投府農畜師開字第30號,南投縣埔里鎮忠孝路266號,,,
新北獸醫業字第344號,新北市永和區永利路94巷3號,,,
桃獸師開執字第251號,桃園市中山北路4號,,,
府農畜字第1030176880號,宜蘭縣冬山鄉冬山路1段753、755號,,,
北市獸業字第483號,臺北市萬華區萬大路536號1樓,,,
中市獸醫開字第283號,臺中市后里區甲后路396號,,,
北市獸業字第482號,臺北市松山區健康路256號1樓,,,
竹縣字第29號,新竹縣竹北市中華路875號,,,
屏獸開字第108號,屏東縣高樹鄉廣福村興農路72巷53號,,,
彰府農防師開字第134號,彰化縣北斗鎮復興路40號,,,
新北獸醫業字第343號,新北市永和區永貞路175號,,,
桃獸師開執字第250號,桃園市龜山區文化三路99號,,,
新北獸醫業字第342號,新北市汐止區仁愛路319號,,,
新北獸醫業字第341號,新北市林口區仁愛路二段172號,,,
桃獸師開執字第249號,桃園市大興西路一段221號1 樓,,,
北市獸業字第480號,臺北市士林區克強路23號1樓,,,
苗縣獸師開字第103039號,苗栗縣頭份鎮中央路358號,,,
高市獸師開字第298號,高雄市前鎮區福祥街49號,,,
桃獸師開執字第248號,桃園市國際路二段51號,,,
桃獸師開執字第247號,桃園市八德區介壽路一段693號,,,
北市獸業字第479號,臺北市大安區基隆路3段153號,,,
高市獸師開字第297號,高雄市鳳山區過勇路198號,,,
新北獸醫業字第339號,新北市板橋區國光路166號,,,
中市獸醫開字第282號,臺中市南屯區田心里大墩六街287號1樓,,,
北市獸業字第478號,臺北市大同區寧夏路1號1、3樓,,,
中市獸醫開字第281號,臺中市豐原區豐原大道四段457號,,,
新北獸醫業字第338號,新北市林口區民族路6號,,,
南市獸開字第149號,臺南市安南區海佃路2段440號,,,
南市獸開字第148號,臺南市永康區中山南路475號,,,
桃獸師開執字第246號,蘆竹市南崁中正路362號,,,
中市獸醫開字第280號,臺中市西區向上路一段21號,,,
桃獸師開執字第245號,桃園市桃園區三民路2段254號,,,
北市獸業字第475號,臺北市中山區民生東路1段87號地下1樓,,,
中市獸醫開字第279號,臺中市北屯區文心路四段943號1樓,,,
南市獸開字第147號,臺南市中西區友愛街277號,,,
新北獸醫業字第337號,新北市中和區景平路489號1樓,,,
高市獸師開字第296號,高雄市鳳山區瑞順街147號1樓,,,
嘉府獸師開字第74號,嘉義縣民雄鄉建國路二段148-6號,,,
彰府農防師開字第133號,彰化市中正路2段256號,,,
新北獸醫業字第336號,新北市鶯歌區鶯桃路496號,,,
南市獸開字第146號,臺南市安南區怡安路1段84號,,,
北市獸業字第474號,臺北市中山區民生東路1段83號,,,
高市獸師開字第295號,高雄市苓雅區中正一路139、141號,,,
南市獸開字第145號,臺南市新營區新進路314-1號,,,
新北獸醫業字第335號,新北市樹林區樹德街136巷16號1樓,,,
府農畜字第1030071411號,宜蘭縣羅東鎮純精路一段25號,,,
北市獸業字第472號,臺北市文山區景華街92號1樓,,,
高市獸師開字第294號,高雄市小港區宏平路372號,,,
南市獸開字第144號,臺南市中西區和緯路5段235號,,,
竹市府產農字第980078672號,新竹市東南街112號1樓,,,
中市獸醫開字第278號,台中市南屯區文心南二路447號,,,
新北獸醫業字第334號,新北市蘆洲區復興路174號1樓,,,
竹縣字第28號,新竹縣竹北市自強北路50號,,,
高市獸師開字第293號,高雄市左營區左營大路437號,,,
屏獸開字第106號,屏東縣佳冬鄉六根村佳和路132-4號,,,
竹市府產農字第980078670號,新竹市經國路3段6號,,,
府農漁開字第36號,花蓮縣花蓮市明禮路71-10號,,,
新北獸醫業字第333號,新北市林口區文化一路一段102號,,,
彰府農防師開字第132號,彰化縣溪湖鎮員鹿路3段198號,,,
中市獸醫開字第277號,台中市西屯區惠中路二段41號,,,
雲診字第90號,雲林縣北港鎮民生路137號,,,
中市獸醫開字第276號,台中市南屯區公益路二段632號,,,
北市獸業字第470號,臺北市信義區信義路6段81號1樓,,,
南市獸開字第141號,臺南市東區崇善路486號,,,
